#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,PORTAL,TIER-LEVEL,COUNT
169,Jack Robison,UWISC,1.007,1.083,208.3,4.8,28.4,16.8,6.8,36.5,4.3,4.4,20.5,-12.5,2.3,108,90.6,17.4,13.8,25.8,13,2,1.1,0.4,0.5,0.833,0.2,0.3,0.75,0.1,0.2,0.5,0.1,0.5,0.5,0.1,0.2,0.1,0.3,0.1,0.33,40.0,60.0,73.5,6-5,F,So,B10,25-26,26,FORWARD,0,Power 5,FALSE
170,Chabi Barre,AKR,0.806,0.8,157.4,10.9,21.7,16.7,2.9,18.7,0.5,12,19.3,-6,2.8,141.5,100.1,41.4,50.6,25.8,15,7,3.7,1.1,1.3,0.8,0,0,0,1.6,2.1,0.774,0.6,1.4,2,0.1,0.1,0.7,0.5,1.3,0.20,161.5,0.0,52.1,6-9,F,Sr,MAC,25-26,26,FORWARD,0,Mid-Major,FALSE
171,Michael Eley,HMPTN,0.58,0.535,165.2,5.4,17.3,11.2,9.7,6.2,2.1,1.6,31.3,-1.5,1.3,121.9,103,18.9,138.9,25.7,19,19.4,12.9,4.6,9.8,0.468,1.3,4.2,0.316,2.4,2.8,0.868,0.8,2.6,3.4,0.7,0.7,0.3,0.7,1.7,1.00,28.6,42.9,67.2,6-4,G,Sr,CAA,25-26,26,GUARD,0,Mid-Major,FALSE
172,Drew Scharnowski,BLMNT,0.627,0.682,132.3,13.6,20.9,17.6,22.4,16.7,2.1,8.2,24.1,0.2,1.7,122.3,98.2,24.1,316.1,25.7,27,22.1,11,4.4,6.5,0.676,0,0.2,0.2,2.2,4.9,0.444,2.1,3.9,6.1,2.6,0.9,1.4,1.8,2.4,1.44,75.4,3.1,40.4,6-9,FC,So,MVC,25-26,26,FORWARD,0,High-Major,FALSE
173,Joul Karram,UVU,0.609,0.615,111.5,36,16.3,24.7,12,12.5,0,8.5,18.7,0,1.3,136.1,88.6,47.5,23,25.7,9,4.6,1.9,0.9,1.4,0.615,0,0.1,0,0.1,0.2,0.5,1.1,0.7,1.8,0.3,0,0.3,0.2,0.4,1.50,14.3,7.1,29.3,6-11,C,So,WAC,25-26,26,BIG,0,Mid-Major,FALSE
174,Xavier Edmonds,TCU,0.632,0.611,166.2,16.3,21,18.6,9.8,15.1,2.4,4.5,26.4,-5,1.6,121.1,98,23.1,280.1,25.7,28,22,12.6,4.5,7.8,0.576,0.5,1.3,0.417,3.2,4.8,0.669,2.9,3.5,6.4,1,0.9,0.9,1.8,3.2,0.56,61.5,16.7,54.4,6-9,F,Jr,B12,25-26,26,FORWARD,0,Power 5,FALSE
175,Vincent Ricchiuti,WF,0.75,0.75,100,0,0,0,0,20,7.7,0,34.8,-13.9,1.5,106.7,85.3,21.4,2.5,25.7,3,2.3,2,0.7,1.3,0.5,0.7,1.3,0.5,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0.00,0.0,100.0,60.3,6-6,F,Jr,ACC,25-26,26,FORWARD,0,Power 5,FALSE
176,KeShawn Murphy,AUB,0.619,0.586,165.8,13.8,23.6,18.6,9.7,7.5,2,4.5,19.6,0.2,1.5,136.9,111.1,25.8,302.9,25.7,26,24.1,11.1,4.2,7.6,0.556,0.5,1.3,0.343,2.2,2.9,0.76,2.7,4.4,7.1,1.2,0.8,1,0.7,1.8,1.71,38.2,17.1,50.7,6-10,F,Sr,SEC,25-26,26,FORWARD,0,Power 5,FALSE
177,Brandon Benjamin,FAIR,0.5695,0.5505,142.35,10.7,19.9,15,16.05,15.7,2.3,3.15,22.4,-1.75,1.3,113.55,108.8,4.75,227.6,21.45,22.5,19.15,8.6,3.6,6.4,0.5435,0.05,0.25,0.1965,1.3,1.95,0.6835,2.3,3.45,5.7,1.1,0.6,0.85,1.1,1.3,1.00,30.5,3.9,36.6,6-8,F,Fr,MAAC,25-26,26,FORWARD,0,Low-Major,FALSE
178,Sam Smith,WAGNR,0.619,0.594,187.5,15.4,20.6,18.2,8.6,9,0.5,3.9,24.9,-2.2,1.3,127.8,104.7,23.1,51.8,25.7,7,15.4,9,3.7,6.9,0.542,0.7,2.1,0.333,0.9,0.9,1,2,3.1,5.1,0.6,0.1,0.6,0.7,2.1,0.86,13.0,30.4,56.4,6-6,F,Sr,NEC,25-26,26,FORWARD,0,Low-Major,TRUE
179,Yaxel Lendeborg,MICH,0.619,0.568,162.6,10.1,18.6,14.9,18.3,9.6,2.2,5.4,20.9,3.1,1.5,137.2,91,46.2,431.1,25.7,28,29,14.2,4.7,9.5,0.496,1.4,4.4,0.309,3.4,4.2,0.821,2.1,5.1,7.3,3.3,1.2,1.4,1.2,1.5,2.75,44.2,46.3,71.0,6-9,F,Sr,B10,25-26,26,FORWARD,0,Power 5,FALSE
180,Nic Book,USCU,0.849,0.813,181.3,12.9,21.7,17.4,7.5,9.6,3,1.4,13.7,0,2,166.2,90.9,75.3,35.3,25.6,7,10.3,4.6,1.9,2.3,0.813,0,0,0,0.9,0.9,1,1.1,2,3.1,0.4,0.6,0.1,0.3,2,1.33,39.1,0.0,43.6,6-8,SF,So,BSC,25-26,26,WING,0,Low-Major,FALSE
181,"Labaron Philon, Jr.",UA,0.621,0.581,167.1,1.9,9.3,5.8,32.3,13.4,2.1,0.7,30.3,2,1.5,124.3,112,12.2,359.3,25.6,26,30.2,21.3,7.2,14.3,0.503,2.2,5.8,0.387,4.7,6,0.782,0.5,2.8,3.3,5,1.2,0.2,2.7,1.7,1.85,42.0,40.6,78.5,6-4,G,So,SEC,25-26,26,GUARD,0,Power 5,FALSE
182,Peyton Law,USA,0.664,0.647,139.7,12.2,14.7,13.5,9.4,7.7,1.1,4.5,21.4,-0.3,1.5,136.9,103.6,33.3,109,25.6,10,25.6,12.8,5.5,8.5,0.647,0,0.1,0,1.8,2.4,0.75,2.5,3.5,6,1.1,0.5,0.7,0.8,2.5,1.38,28.2,1.2,34.2,6-7,F,Sr,Sun Belt,25-26,26,FORWARD,0,Mid-Major,FALSE
183,Keyshawn Hall,AUB,0.619,0.526,172.1,7.4,18.9,13,16.2,13.3,1.4,2.5,27.9,-2.3,1.6,128.2,113.2,15,369.8,25.6,26,33.5,20.8,5.7,12.7,0.452,1.9,4.6,0.408,7.4,8.6,0.862,2,5,7,2.7,0.8,0.7,2.6,2.5,1.04,67.7,36.2,75.7,6-7,C,Sr,SEC,25-26,26,BIG,0,Power 5,FALSE
184,Najai Hines,SETON,0.612,0.587,128.1,16.9,22.9,19.9,7.4,13.1,1.5,17.8,17.6,-2.2,1.5,125.9,89.9,36,218.6,25.6,26,16.9,6.2,2.5,4.2,0.587,0,0,0,1.3,1.9,0.694,2.3,3.1,5.4,0.6,0.4,2.3,0.8,2.4,0.75,45.2,0.0,32.9,6-10,C,Fr,Big East,25-26,26,BIG,0,Power 5,FALSE
185,Hank Alvey,LEHI,0.643,0.632,169.8,9.7,20.1,15.1,14.6,13.2,2.3,6.1,22.8,-1.4,1.6,123.2,102.2,21,414.4,25.6,30,30.3,14.3,5.7,9.1,0.623,0.2,0.4,0.417,2.8,4.3,0.659,2.2,4.9,7,1.9,1.2,1.8,1.7,2.3,1.12,47.3,4.4,46.9,6-9,FC,So,Patriot,25-26,26,FORWARD,0,Low-Major,FALSE
186,"Darius Acuff, Jr.",ARK,0.612,0.576,172.8,1.7,9.2,5.5,31.1,9.6,1.3,1.2,27.8,6.1,1.4,130.5,112,18.5,437.5,25.6,28,34.8,22.2,7.8,15.7,0.499,2.4,5.6,0.43,4.1,5.1,0.799,0.5,2.6,3.1,6.2,0.8,0.4,1.9,1.6,3.26,32.5,35.7,76.8,6-2,G,Fr,SEC,25-26,26,GUARD,0,Power 5,FALSE
187,"Sean Van Dorn, Jr.",GASO,0.54,0.5,156.7,9.2,0,4.8,8.7,0,4.4,5.6,27.3,2.6,1.3,125.5,99.9,25.6,9.5,25.5,4,5.8,3.8,1.3,3,0.417,0.5,1.3,0.4,0.8,1,0.75,0.5,0,0.5,0.3,0.5,0.3,0,0.5,,33.3,43.3,52.7,6-6,F,Fr,Sun Belt,25-26,26,FORWARD,0,Mid-Major,FALSE
188,Chaze Harris,USA,0.571,0.556,128.3,5.2,11.6,8.6,36.3,16.2,3,2,33.9,0.2,1.5,111.2,102.2,9.1,367.9,25.5,30,31.4,18.7,7.1,12.8,0.552,0.1,0.7,0.136,4.5,7.6,0.595,1.2,3.2,4.4,4.8,1.6,0.3,3.2,2.5,1.50,59.4,5.5,39.6,6-6,GF,Sr,Sun Belt,25-26,26,WING,0,Mid-Major,FALSE
189,Avantae Parker,QUC,0.707,0.727,178,11.2,18.7,15,10.3,15.9,2.1,6.3,22.8,-3.7,1.8,129.2,110.8,18.4,285.4,25.5,30,21.5,11.8,4.6,6.4,0.714,0.2,0.4,0.455,2.5,4,0.612,1.8,3.2,5,1.1,0.8,1.2,1.6,3.6,0.69,62.5,6.3,51.4,6-9,F,Jr,A-SUN,25-26,26,FORWARD,0,Low-Major,FALSE
