#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,PORTAL,TIER-LEVEL,COUNT
1463,Samson Reilly,QUIN,0.629,0.628,157.9,0.5,5.7,3.1,8.5,6.2,1.2,0,20.5,0.3,1.3,127.7,108.9,18.8,60.1,16.8,25,9.2,4.6,1.6,3.6,0.433,1.4,2.9,0.479,0.1,0.1,0.667,0,0.4,0.5,0.4,0.2,0,0.2,0.4,2.00,2.8,80.6,67.5,6-2,G,So,MAAC,25-26,26,GUARD,0,Low-Major,FALSE
1464,Derek Vorst,INDST,0.586,0.593,151.5,8.9,15.9,12.4,12.8,12.1,1.2,2.8,19.6,-0.3,1.6,116.4,107.1,9.3,134.8,16.8,20,21.6,8.5,3,5.4,0.556,0.4,1,0.421,2.1,3.9,0.538,1.5,2.7,4.2,1.4,0.5,0.6,1,2.5,1.40,72.2,18.5,51.4,6-10,C,Jr,MVC,25-26,26,BIG,0,High-Major,FALSE
1465,Styles Phipps,PEPP,0.517,0.443,144.8,6.9,15.1,11,29.8,18,2.4,0.7,23.1,1.5,1.3,107.3,112.2,-4.9,318.4,16.8,29,34.1,13.2,4.3,10.3,0.416,0.6,2.2,0.25,4.1,5.2,0.781,1.9,4.1,6,5,1.4,0.2,2.8,2.6,1.79,50.5,21.4,51.4,6-2,G,So,WCC,25-26,26,GUARD,0,High-Major,FALSE
1466,Devin Askew,VILL,0.547,0.514,171,3.7,8.9,6.3,16.1,10.3,3,0.6,22.6,1.2,1.2,116.6,105.1,11.4,157.5,16.8,27,22.1,9.5,3.2,8,0.398,1.9,4.4,0.417,1.3,1.4,0.895,0.7,1.5,2.2,1.9,1.1,0.1,1,2.1,1.90,17.5,55.0,70.5,6-5,G,Sr,Big East,25-26,26,GUARD,0,Power 5,FALSE
1467,Stefan Vaaks,PROV,0.562,0.514,157.9,2.1,6.7,4.6,18.2,11.7,1.5,1,24.4,0.9,1.3,117.7,116.2,1.5,235.3,16.8,27,31.4,15.7,4.9,12.2,0.4,2.8,8.3,0.336,3.2,3.8,0.843,0.5,1.9,2.4,3.2,0.9,0.3,1.9,1.9,1.68,31.1,68.0,91.3,6-6,G,Fr,Big East,25-26,26,GUARD,0,Power 5,FALSE
1468,T.J. Power,PENN,0.535,0.522,144.8,6.2,19.4,12.6,14.5,12.7,1.4,1.8,23.2,-1.1,1.2,109.1,106.2,2.9,267,16.8,24,34.4,15.1,5.5,12.6,0.434,2.2,5.6,0.396,2,3.2,0.618,1.8,5.4,7.2,2.5,0.8,0.6,2,2.1,1.25,25.4,44.4,72.0,6-9,F,Jr,IVY,25-26,26,FORWARD,0,Mid-Major,FALSE
1469,Te'Jon Sawyer,MONT,0.68,0.67,172.9,4.4,18.2,12.1,7.4,16.8,1,2,19.8,-3.9,1.5,115.5,103.9,11.6,231.4,16.8,28,27.1,11.8,4.9,8,0.61,1,2.6,0.375,1.1,1.5,0.744,0.8,4.3,5.1,1,0.5,0.5,1.8,2.6,0.56,18.8,32.5,60.4,6-8,G,Sr,BSKY,25-26,26,GUARD,0,Low-Major,FALSE
1470,Jamil Muttilib,GRAMB,0.57,0.532,157.8,4.1,11.8,7.9,4.5,9.8,3.1,2.1,21.4,-2.8,1.3,113.8,100.4,13.4,183,16.8,27,25.9,11.3,3.9,8.8,0.439,1.6,5.1,0.321,2,2.4,0.818,0.8,2.4,3.2,0.5,1.4,0.5,1.1,2,0.45,27.3,58.0,73.1,6-6,F,Sr,SWC,25-26,26,FORWARD,0,Low-Major,FALSE
1471,Jaiden Glover,STJOE,0.549,0.519,149.6,5.8,11.5,8.8,7.4,10.5,1.4,1.5,25.8,-3.1,1.2,110.5,105.6,4.9,218.4,16.8,25,30.8,15.7,5.2,12.6,0.415,2.6,7.6,0.346,2.6,3.5,0.736,1.5,3.2,4.7,1.1,0.8,0.4,1.7,1.3,0.65,27.8,60.3,85.1,6-5,GF,So,A-10,25-26,26,WING,0,High-Major,FALSE
1472,Kamari Lands,MTSU,0.532,0.5,151.3,2.8,13.1,7.9,14.5,9.4,1.9,1.5,24.2,0.4,1.2,111.5,106.8,4.7,225.6,16.8,27,30.1,13.6,4.7,11.4,0.408,2.1,6.2,0.339,2.2,2.9,0.766,0.7,3.1,3.9,2.2,1,0.4,1.3,1.8,1.69,25.4,54.4,76.5,6-8,F,Sr,C-USA,25-26,26,FORWARD,0,Mid-Major,FALSE
1473,Andrew Henderson,UCR,0.533,0.501,155.8,2.3,15.6,8.9,13.7,11.9,1.5,2.6,28.3,-2.7,1.2,104.7,108.9,-4.2,268.3,16.8,29,33.4,17.9,6.3,15.2,0.413,2.7,7.8,0.344,2.7,3.3,0.802,0.6,4.2,4.8,2,0.9,0.9,2.3,2.6,0.87,21.7,51.3,84.1,6-5,GF,Sr,BWC,25-26,26,WING,0,Mid-Major,FALSE
1474,Mikale Stevenson,IPFW,0.53,0.493,157.1,1.7,14.2,7.8,19.4,14.4,2.9,0.5,26.7,-0.6,1.2,102.6,109.5,-6.9,256.4,16.8,30,29.8,14.1,5.1,11.9,0.426,1.6,4.7,0.34,2.3,2.9,0.805,0.4,3.2,3.6,3.1,1.6,0.1,2.2,1.6,1.41,24.4,39.5,67.0,6-2,G,Sr,Horizon,25-26,26,GUARD,0,Low-Major,FALSE
1475,Jojo Murphy,SEA,0.524,0.486,158.7,4.5,15.1,9.7,18.6,11.9,3.1,0.5,21.5,1.2,1.2,108.4,96,12.4,136.5,16.8,30,14.5,5.7,2,4.9,0.405,0.8,2.4,0.338,0.9,1.1,0.844,0.5,1.7,2.3,1.4,0.8,0.1,0.7,0.8,2.00,22.4,49.0,56.8,6-2,G,Sr,WCC,25-26,26,GUARD,0,High-Major,FALSE
1476,Brandon Maclin,DEP,0.535,0.498,143.5,5.9,15.8,10.7,20.1,13.9,2.7,1.3,21.6,0.8,1.3,110.1,103.7,6.4,203.4,16.8,25,26.7,10.3,3.6,8,0.45,0.8,2.5,0.306,2.4,3.5,0.678,1.3,3.2,4.5,2.6,1.2,0.3,1.6,2.4,1.63,43.8,31.3,54.7,6-5,F,Sr,Big East,25-26,26,FORWARD,0,Power 5,FALSE
1477,Themus Fulks,UCF,0.548,0.506,171.7,2.4,9.3,5.8,36.8,20.1,1.3,0.1,24.5,3.8,1.3,111.6,112.4,-0.8,277.4,16.8,27,32.3,14.3,5.4,11.4,0.477,0.7,1.5,0.45,2.8,3.5,0.789,0.6,2.4,3,6.9,0.8,0,3.3,1.9,2.09,30.7,13.2,50.9,6-2,G,Sr,B12,25-26,26,GUARD,0,Power 5,FALSE
1478,Joe Nugent,HC,0.621,0.591,173.7,5.1,11.1,8.1,4.9,8.3,1.7,0.7,19.3,-1.5,1.4,121.4,114.7,6.7,154.9,16.8,21,29.6,11.8,4,8.6,0.459,2.3,5.6,0.407,1.6,1.9,0.872,1.1,2.4,3.6,0.7,0.9,0.2,0.9,2.2,0.78,22.1,65.1,80.6,6-6,SG,Jr,Patriot,25-26,26,GUARD,0,Low-Major,FALSE
1479,Kirill Elatoncev,OKLA,0.67,0.655,165.7,6.2,13.2,9.7,8,8.8,2.7,2.7,11.9,1,1.6,142.1,117.1,25,70.3,16.7,16,15.1,4.3,1.4,2.6,0.548,0.6,1.4,0.409,0.9,1.3,0.7,0.8,1.6,2.3,0.7,0.7,0.4,0.3,1.7,2.33,50.0,53.8,60.8,6-11,C,Sr,SEC,25-26,26,BIG,0,Power 5,FALSE
1480,Cassius Bonjasky,CTDL,0.626,0.607,160.5,13.6,16,14.7,2,10.9,0.5,0,17.2,-3.2,1.5,125.7,120.7,4.9,30,16.7,17,6.4,2.4,0.9,1.6,0.571,0.1,0.4,0.333,0.4,0.6,0.7,0.8,0.8,1.5,0.1,0.1,0,0.2,0.8,0.50,37.5,25.0,46.7,6-7,F,Jr,SoCon,25-26,26,FORWARD,0,Low-Major,FALSE
1481,Donovan Rivers,JAC,0.605,0.589,121.5,9.6,19.5,14.5,6.7,18.6,0.9,2.3,22.3,-6.1,1.6,110.4,110.1,0.3,153.1,16.7,29,20.4,8.6,3.2,5.4,0.589,0,0.1,0,2.1,3.4,0.626,1.5,2.9,4.4,0.7,0.3,0.4,1.6,2.8,0.44,63.0,1.9,34.5,6-9,F,Jr,A-SUN,25-26,26,FORWARD,0,Low-Major,FALSE
1482,Nico Ashley,CCSU,0.594,0.573,150.2,5.5,8.5,7.1,10.7,16,3.1,7.9,17.2,-1.4,1.4,112.2,98.3,13.9,48.4,16.7,17,10.1,3.3,1.3,2.4,0.537,0.2,0.6,0.273,0.5,0.8,0.692,0.4,0.7,1.1,0.6,0.5,0.7,0.5,1.2,1.20,33.3,25.0,44.6,6-7,F,Sr,NEC,25-26,26,FORWARD,0,Low-Major,FALSE
1483,Joel Foxwell,UP,0.525,0.486,153.8,2.4,11.7,7.2,37,18.2,2.5,0.4,26.1,2.7,1.2,104.7,111.3,-6.6,354.5,16.7,29,35.3,16,5.6,13.5,0.411,2.1,6.3,0.332,2.8,3.5,0.802,0.6,3.4,4,6.8,1.5,0.1,3.3,1.4,2.06,25.9,46.7,75.8,6-1,G,Fr,WCC,25-26,26,GUARD,0,High-Major,FALSE
1484,Isaiah Elohim,FAU,0.563,0.544,151.7,4.4,13.2,8.8,6.8,6.8,1.1,1.2,20.9,-0.5,1.3,120.1,106.1,14,215.6,16.7,28,28,12.7,4.7,9.8,0.476,1.3,3.4,0.385,2,3.1,0.655,1,3.1,4.2,1,0.6,0.3,0.8,2,1.25,31.6,34.7,61.2,6-5,F,So,AAC,25-26,26,FORWARD,0,High-Major,FALSE
1485,Johan Munch,ORST,0.558,0.529,127.8,11.6,19.8,15.9,12,18,2.2,4.1,21.7,-4,1.4,106.8,105.8,1,184.8,16.7,28,21.8,8,2.9,5.6,0.526,0,0.3,0.125,2.1,3.4,0.628,1.8,3.4,5.3,1.1,0.8,0.8,1.6,2.9,0.69,60.7,5.4,37.3,6-11,C,So,WCC,25-26,26,BIG,0,High-Major,FALSE
1486,Shahid Muhammad,FLAST,0.711,0.714,138.1,6.2,12.4,9.1,4,16.9,0.6,14.4,12.3,-2.9,2,128.7,105.6,23.1,29.3,16.7,12,7.1,2.3,0.8,1.2,0.714,0,0,0,0.7,1,0.667,0.4,0.8,1.2,0.2,0.1,0.9,0.3,0.9,0.67,83.3,0.0,39.9,6-11,C,Jr,ACC,25-26,26,BIG,0,Power 5,FALSE
1487,Anthon McDermott,TEXAS,0.75,0.75,100,12.6,9.9,11.1,12.9,33.3,5.1,0,13,-3,1.5,122.5,87,35.5,8,16.7,7,3,0.9,0.3,0.6,0.5,0.3,0.6,0.5,0,0,0,0.3,0.3,0.6,0.3,0.3,0,0.3,0.1,1.00,0.0,100.0,56.8,6-4,G,Fr,SEC,25-26,26,GUARD,0,Power 5,FALSE
1488,Amir Williams,HOF,0.5,0.5,50,7.4,24.1,16.6,0,20,9.9,0,14.1,-6,1,93.7,49.1,44.6,6,16.7,3,5.7,1.3,0.7,1.3,0.5,0,0.7,0,0,0,0,0.3,1.3,1.7,0,1,0,0.3,0.7,0.00,0.0,53.8,29.1,6-4,GF,So,CAA,25-26,26,WING,0,Mid-Major,FALSE
1489,Micah Robinson,TCU,0.543,0.472,149.6,7,17.6,12.2,13.4,12.8,2.3,1.7,21.4,-0.6,1.4,114.6,101.1,13.5,221.9,16.7,28,25.7,10.6,3,7.7,0.395,1.2,3.5,0.337,3.4,4.4,0.764,1.4,3.5,4.9,1.9,1,0.4,1.4,2.4,1.36,57.1,45.5,65.1,6-6,SF,So,B12,25-26,26,WING,0,Power 5,FALSE
1490,T.O. Barrett,MZZOU,0.578,0.525,156.7,5.1,9.4,7.4,22.9,20.5,3,1.2,21.5,-0.4,1.4,112,109.1,2.9,176.1,16.7,28,22.3,8.8,3.2,6.4,0.5,0.3,1.3,0.25,2.1,2.5,0.817,0.9,1.8,2.6,2.8,1.1,0.2,2,2.3,1.40,39.1,20.3,48.1,6-4,G,So,SEC,25-26,26,GUARD,0,Power 5,FALSE
1491,Matyas Vrabel,TARST,0.65,0.667,116.7,10.7,8.2,9.5,2.6,7.7,0.7,3.3,15.7,-1.6,1.5,130.3,102.5,27.7,19.8,16.7,12,6.5,2.6,1.2,1.8,0.667,0,0,0,0.3,0.5,0.5,0.6,0.4,1,0.1,0.1,0.2,0.2,1,0.50,27.8,0.0,30.5,6-10,PF,So,WAC,25-26,26,FORWARD,0,Mid-Major,FALSE
1492,Gioacchino Panzini,COR,0.766,0.798,181.4,7.1,13.9,10.6,8,15.1,2.1,2.5,13.8,-0.9,1.8,136.9,111.6,25.3,79.9,16.7,23,11.2,4.1,1.6,2.3,0.692,0.5,0.9,0.55,0.5,0.9,0.571,0.6,1.3,1.9,0.6,0.4,0.3,0.5,1.9,1.20,39.1,39.1,60.6,6-5,F,So,IVY,25-26,26,FORWARD,0,Mid-Major,FALSE
1493,Keenan Garner,CMU,0.592,0.585,164.6,12.1,16.1,14.1,11.9,19.7,2.8,0.9,18.1,-2.6,1.5,112.5,108.7,3.8,207.1,16.7,28,23.4,7.9,2.9,5.3,0.558,0.3,0.6,0.5,1.8,3,0.588,2.3,3,5.2,1.5,1.1,0.2,1.6,2.3,0.94,56.6,11.3,49.5,6-6,SF,So,MAC,25-26,26,WING,0,Mid-Major,FALSE
1494,Caleb McCarty,CSUB,0.638,0.615,136.5,12.8,19.1,16,8.2,6.3,0,1.9,14,0.6,1.5,139.2,103.9,35.2,16,16.7,6,8.7,3.2,1.3,2.2,0.615,0,0,0,0.5,0.7,0.75,1,1.5,2.5,0.3,0,0.2,0.2,2.2,1.50,31.8,0.0,33.0,6-8,F,Sr,BWC,25-26,26,FORWARD,0,Mid-Major,FALSE
1495,Jayden Johnson,SCSU,0.538,0.495,151.5,2.6,10.7,6.4,32.7,17.1,2.8,0.2,27.3,-0.5,1.3,104.9,114.8,-9.9,197.5,16.7,26,26.5,13.2,4.5,10.2,0.443,1.2,3.3,0.372,3,4,0.733,0.5,2,2.6,3.5,1.3,0,2.6,2.3,1.35,39.2,32.4,60.7,6-1,G,So,MEAC,25-26,26,GUARD,0,Low-Major,FALSE
1496,J.J. Massaquoi,UML,0.558,0.53,131.8,11.1,9.9,10.5,5,13.7,0.9,0,25.6,-5.4,1.3,110.1,112.9,-2.8,104.9,16.7,16,25,9.9,3.2,7.5,0.425,1.3,3.2,0.412,2.2.28,2.8,0.8,0.7,2,2.7,1.9,0.9,0.1,0.8,2.1,2.38,37.3,42.7,64.0,6-5,F,Fr,AEC,25-26,26,FORWARD,0,Low-Major,FALSE
1497,Preston Ruedinger,UWGB,0.583,0.54,172.6,2.1,12.4,7.4,28.7,13,1.8,0.4,17.7,6.2,1.3,123.7,114.7,9,324.8,16.7,30,35.1,11.4,3.7,8.7,0.42,2.1,5.1,0.412,2,2.2,0.894,0.5,3.2,3.7,5.3,1.1,0.1,1.5,2.1,3.53,25.3,58.6,76.5,6-2,G,Sr,Horizon,25-26,26,GUARD,0,Low-Major,FALSE
1498,Michael Belle,VCU,0.598,0.607,159.2,8.3,18.5,13.5,8.5,12.7,1.5,3.8,15.8,-1,1.4,121.2,102.7,18.5,201.9,16.7,28,21.7,7.4,2.9,5.3,0.55,0.6,1.1,0.531,0.9,1.8,0.51,1.5,3.4,4.8,1,0.6,0.8,0.9,2,1.11,34.0,20.8,51.3,6-8,F,Jr,A-10,25-26,26,FORWARD,0,High-Major,FALSE
1499,Calvin Russell III,SYRA,0.432,0.333,133.3,45.5,0,26.3,0,22.3,0,0,105.8,-50.8,1,76.3,137.7,-61.4,-0.1,16.7,1,2,3,1,3,0.333,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0.00,33.3,0.0,28.5,#N/A,#N/A,#N/A,ACC,25-26,26,#N/A,0,Power 5,FALSE
1500,Ahmad Henderson II,UIC,0.524,0.454,156.4,1.5,7.1,4.3,21.7,14.9,2.6,0.8,31.5,-2.5,1.2,106.4,105.1,1.2,148.3,16.7,30,21.7,12.1,3.8,9.9,0.389,1.3,4.4,0.295,3.2,3.6,0.88,0.3,1.2,1.5,2.3,1,0.1,2,1.9,1.15,36.4,44.4,66.8,5-9,G,Jr,MVC,25-26,26,GUARD,0,High-Major,FALSE
1501,Ognjen Stankovic,AKR,0.564,0.537,134.4,11.1,22,17.1,11,22.4,2.5,2.1,19.4,-3.5,1.4,109.6,97.3,12.3,41.3,16.7,15,7.3,2.6,0.9,1.8,0.519,0.1,0.3,0.2,0.7,1.1,0.625,0.6,1.5,2.1,0.6,0.3,0.1,0.7,0.4,0.86,61.1,16.7,41.1,6-8,SG,Fr,MAC,25-26,26,GUARD,0,Mid-Major,FALSE
1502,LeJuan Watts,TXTCH,0.536,0.472,154.5,8.9,17.1,13.1,15.3,17,1.4,0.9,24.5,-2.4,1.3,110.7,105.9,4.7,231.9,16.7,27,28.3,12.2,4,9.4,0.431,0.8,2.4,0.323,3.4,4.3,0.791,2,4,6,2.5,0.7,0.3,2.3,2.3,1.09,45.7,25.5,55.1,6-6,F,Jr,B12,25-26,26,FORWARD,0,Power 5,FALSE
1503,Khani Rooths,LVILL,0.54,0.504,135.3,7.8,24.2,16.5,9.9,12.3,2.2,3,17.2,-0.4,1.3,116.8,94.9,21.9,157.9,16.7,24,17.8,6.1,2.1,4.7,0.455,0.5,2,0.224,1.4,2,0.673,1.1,3.9,5,1.1,0.7,0.5,0.8,1.5,1.38,42.6,42.6,51.9,6-10,F,So,ACC,25-26,26,FORWARD,0,Power 5,FALSE
1504,Owen Odom,UVA,0.667,0.667,66.7,0,8.7,4.7,0,0,0,8.6,12.3,0,1.3,140.2,97,43.2,3.5,16.6,9,1.4,0.4,0.2,0.3,0.667,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0,,0.0,33.3,28.8,6-1,G,Fr,ACC,25-26,26,GUARD,0,Power 5,FALSE
1505,Kanon Catchings,UGA,0.536,0.522,141.2,7.3,15.7,11.6,9.4,10.7,1.5,1.6,22.7,-1.4,1.2,113.9,107.3,6.6,196.6,16.6,27,23.4,10.9,3.9,9.2,0.419,1.9,5.3,0.357,1.3,2,0.636,1.4,3.3,4.7,1.3,0.6,0.4,1.2,1.9,1.08,21.7,57.6,71.4,6-9,F,So,SEC,25-26,26,FORWARD,0,Power 5,FALSE
1506,Sven Djopmo,ARZ,0.606,0.667,100,4.6,7.6,6.3,21.8,11.9,2,0,14.3,5.9,1.5,130.1,91,39.1,8.9,16.6,14,1.9,0.6,0.3,0.4,0.667,0,0.1,0,0.1,0.2,0.333,0.1,0.1,0.2,0.3,0.1,0,0.1,0.1,3.00,50.0,25.0,33.8,6-2,G,So,B12,25-26,26,GUARD,0,Power 5,FALSE
1507,Antonio Munoz,GRAMB,0.543,0.495,120.1,5.2,13.3,9.3,20.4,18.4,1.8,2.1,29.5,-5,1.5,102.2,102.3,-0.1,152.8,16.6,24,25,13,4.4,9,0.493,0,0.7,0.059,4.2,6.4,0.649,1,2.6,3.6,2.2,0.8,0.5,2.7,2.5,0.81,71.1,7.8,38.7,6-6,F,Fr,SWC,25-26,26,FORWARD,0,Low-Major,FALSE
1508,Allen Mukeba,ASU,0.556,0.558,132.2,10.8,17.9,14.3,9.5,15.5,2.8,5.8,18.4,-2.4,1.4,109.6,105.4,4.2,147,16.6,28,16.8,5.9,2.4,4.3,0.554,0,0.1,0.25,1,2,0.518,1.4,2.3,3.7,0.8,0.9,0.9,1,2.6,0.80,46.5,2.3,36.4,6-6,C,Sr,B12,25-26,26,BIG,0,Power 5,FALSE
1509,Gabe Warren,HC,0.567,0.529,151.5,3.6,14.6,9,10,11.4,2.4,1,20.2,-1.1,1.4,111.6,109.3,2.4,237.4,16.6,29,31,11.6,4,8.3,0.477,0.9,2.5,0.342,2.8,4,0.696,0.9,3.4,4.3,1.5,1.2,0.3,1.3,1.5,1.15,48.2,30.1,57.2,6-6,F,Jr,Patriot,25-26,26,FORWARD,0,Low-Major,FALSE
1510,A.J. Dancler,CCU,0.524,0.491,153.3,2.1,16.5,9.5,13.3,9,1.4,0.4,25.3,-0.4,1.2,108.8,101.5,7.3,272,16.6,30,32.9,15.6,5.3,13.2,0.399,2.4,6.3,0.388,2.6,3.5,0.745,0.6,5.1,5.7,2,0.8,0.1,1.5,2.4,1.33,26.5,47.7,76.8,6-2,G,Jr,Sun Belt,25-26,26,GUARD,0,Mid-Major,FALSE
1511,Zaire Williams,MER,0.57,0.538,165.9,4.3,10.1,7.2,9.2,10.8,3,0.4,21,-1.2,1.2,117.6,106,11.6,227,16.6,30,28.1,12.6,4.4,10.1,0.432,2.1,6.1,0.348,1.7,1.9,0.879,1,2.4,3.4,1.5,1.5,0.1,1.3,2.6,1.15,18.8,60.4,78.9,6-4,G,Sr,SoCon,25-26,26,GUARD,0,Low-Major,FALSE
1512,Christian King,MTSTU,0.523,0.484,156.3,4.6,17.9,11.2,6.7,11.5,2.2,1.1,26.1,-3.4,1.2,105.2,103.6,1.6,172.9,16.6,24,26.9,12.4,4.2,10.6,0.394,1.9,5.3,0.359,2.1,2.6,0.81,1,3.7,4.6,1,1,0.3,1.5,1.4,0.67,24.5,50.0,71.8,6-8,F,Jr,BSKY,25-26,26,FORWARD,0,Low-Major,FALSE
1513,Lance Waddles,OMAHA,0.579,0.571,149.2,3.2,16.8,10.2,14.3,11.9,1.6,0.4,22.2,-0.2,1.2,113.5,111.5,2,260,16.6,29,29.3,13,4.8,10.5,0.454,2.4,6.2,0.389,1.1,1.7,0.646,0.7,4,4.7,2.2,0.8,0.1,1.6,2,1.38,16.2,59.0,77.9,6-4,G,Sr,Summit,25-26,26,GUARD,0,Low-Major,FALSE
1514,Gustav Winther,NIU,0.642,0.66,162.3,9.8,14.6,12.1,9.5,18.2,1.1,3.3,17.6,-3.7,1.6,116.4,110.2,6.1,167.1,16.6,27,21.4,8.1,3.2,5,0.649,0.1,0.3,0.429,1.6,2.9,0.545,1.8,2.4,4.3,0.9,0.4,0.6,1.4,2.7,0.64,58.0,6.0,46.8,6-9,C,Fr,MAC,25-26,26,BIG,0,Mid-Major,FALSE
1515,Tru Washington,UMFL,0.54,0.511,152.1,6,12.7,9.4,9.7,13.4,3.7,0,21.7,-2.1,1.2,111.3,100.9,10.4,188.5,16.6,24,27.7,11.6,4.3,9.5,0.452,1.1,3.2,0.351,1.9,2.7,0.719,1.3,2.8,4.1,1.6,1.8,0,1.7,1.6,0.94,28.4,33.7,58.8,6-4,G,Jr,ACC,25-26,26,GUARD,0,Power 5,FALSE
1516,A.J. Smith,BRDLY,0.5525,0.5125,157.25,4.7,15.25,9.85,10.45,8.25,1.85,0.95,21.8,0.2,1.35,115.9,109.35,6.6,127,17.35,19,19.75,8,2.75,6.05,0.452,0.75,1.95,0.3985,1.8,2.45,0.722,0.9,2.45,3.35,1.05,0.7,0.2,0.7,1.75,1.50,40.5,32.2,55.2,6-5,SF,Sr,MVC,25-26,26,WING,0,High-Major,FALSE
1517,Adlan Elamin,USU,0.584,0.557,158.5,5.9,16.3,11.3,8.1,11.7,2.6,2.6,18.6,-1.1,1.3,119,100.1,18.9,154,16.6,27,19,7.2,2.6,5.5,0.47,1,2.9,0.338,1,1.3,0.778,0.8,2.4,3.2,0.9,0.9,0.4,0.8,1.7,1.13,23.6,52.7,61.4,6-9,F,Fr,MWC,25-26,26,FORWARD,0,High-Major,TRUE
1518,Shane Lancaster,ALCST,0.625,0.598,169.2,1.4,8.3,4.7,14.9,12.1,2.2,0.9,19.5,0.1,1.5,120.7,120.2,0.5,185,16.6,26,27.5,11.5,3.7,7.9,0.468,2,4.3,0.473,2.1,2.8,0.75,0.3,1.7,2,2,1,0.2,1.3,1.9,1.54,35.4,54.4,74.4,6-4,G,Sr,SWC,25-26,26,GUARD,0,Low-Major,FALSE
1519,Evan Otten,IDHST,0.554,0.534,212.9,11.2,24.9,17.9,3.5,17.4,0.9,13.1,18.2,-5.1,1.4,107.9,105.8,2,137.1,16.6,29,15.4,4.9,1.9,3.5,0.529,0,0,1,1.1,1.9,0.6,1.3,2.7,4,0.3,0.2,1.8,0.9,3,0.33,54.3,0.0,55.8,6-11,C,So,BSKY,25-26,26,BIG,0,Low-Major,FALSE
1520,Jeremiah Quigley,BNGH,0.532,0.465,141.4,1.8,15.1,8.6,40.3,19.4,2,0,24.8,3.2,1.3,104.4,113.9,-9.6,305.3,16.6,28,37,14,4.9,10.8,0.452,0.3,1.6,0.178,4,5.1,0.785,0.5,4.1,4.6,6.5,1.2,0,3.2,2.4,2.03,47.2,14.8,45.9,5-11,G,Jr,AEC,25-26,26,GUARD,0,Low-Major,FALSE
1521,Colin Porter,LBRTY,0.641,0.596,178.3,0.5,11,6.1,17.9,13.8,2.6,0.3,18,2.7,1.5,121.8,108.7,13.1,240.6,16.6,25,34,11.8,3.8,8.1,0.468,2.1,5.2,0.4,2.2,2.4,0.915,0.1,2.9,3,3.5,1.5,0.1,1.5,2.2,2.33,29.6,64.2,80.2,5-10,G,Sr,C-USA,25-26,26,GUARD,0,Mid-Major,FALSE
1522,Mason Klabo,ILLST,0.595,0.577,158.5,2.8,16.6,10,13.9,8.1,1.2,0.8,18.1,2.3,1.3,124.7,101.3,23.4,124.8,16.6,27,15.6,6,2.1,4.6,0.472,1,2.5,0.382,0.7,1,0.731,0.3,2.2,2.5,1.2,0.3,0.1,0.4,1.4,3.00,21.7,54.3,60.5,6-2,G,Fr,MVC,25-26,26,GUARD,0,High-Major,FALSE
1523,Adrian Myers,SJSU,0.536,0.515,152.4,7.7,14.8,11,9.4,10.7,2.2,3.2,20.6,-1.2,1.2,112.6,118.3,-5.6,171.6,16.6,23,27.3,10.1,3.6,8.7,0.412,1.8,4.5,0.394,1.2,1.7,0.718,1.7,2.7,4.3,1.2,1,0.7,1.1,2.1,1.09,19.5,51.7,68.0,6-6,F,Jr,MWC,25-26,26,FORWARD,0,High-Major,FALSE
1524,Colin Byrne,STONE,0,0,0,0,0,0,58.8,0,0,0,0,31.8,0,235.3,89.9,145.4,1,16.6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,6-3,G,Fr,NEC,25-26,26,GUARD,0,Low-Major,FALSE
1525,Ethan Simmon,SB,0.647,0.642,158.5,1.3,8.7,5,3.6,6.9,2.1,1.9,17.1,-1.2,1.5,126,104.9,21.2,86.3,16.6,23,15.2,6,2.1,4.1,0.505,1.1,2.7,0.426,0.7,1.1,0.654,0.2,1.2,1.3,0.3,0.5,0.3,0.3,1,1.00,26.8,65.9,65.9,6-5,SG,Sr,CAA,25-26,26,GUARD,0,Mid-Major,FALSE
1526,Tyler Behrend,TULSA,0.598,0.571,143.7,11.8,16.9,14.5,15.2,17.7,1.7,1.9,14.7,0.9,1.5,126.6,103.3,23.2,203.1,16.6,29,20.5,5.9,2.1,3.9,0.549,0.2,0.8,0.227,1.5,2.2,0.662,1.8,2.9,4.7,1.9,0.6,0.3,1.1,1.9,1.73,56.4,20.5,45.9,6-10,C,Jr,AAC,25-26,26,BIG,0,High-Major,FALSE
1527,Ian Inman,COLO,0.63,0.61,184.5,2.8,11.9,7.3,8.3,10.3,1.2,0,21.8,-1.5,1.3,119.8,112.6,7.1,37.4,16.6,17,7.9,3.9,1.3,2.9,0.44,1,2.5,0.405,0.3,0.3,1,0.2,0.8,0.9,0.4,0.2,0,0.4,0.6,1.00,10.3,86.2,68.6,6-5,F,Fr,B12,25-26,26,FORWARD,0,Power 5,FALSE
